,Bar Name,Address,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
10,Barrio Soho,"6 Poland Street, London, W1F 8PS","Barrio Soho has the usual blast of colour running throughout, a Frida Kahlo corner and a basement bar.",Closed,4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 1AM,11:30AM - 1AM,Closed
11,Barrio Shoreditch,"141-143 Shoreditch High Street, London, E1 6JE","This Barrio outpost brings the usual combination of colourful décor and Latin attitude, but this time with an outside terrace, a caravan parked inside and a whole lot of booths.",12PM - 12AM,12PM - 1AM,12PM - 1AM,12PM - 2AM,12PM - 2AM,11:30AM - 2AM,11:30AM - 12AM
12,Barrio Angel,"45 Essex Road, London, N1 2SF",A cacophony of colour awaits you within this crazy-fun venue with a dedicated Boom Boom room and jukebox. The weekend fiestas are legendary.,Closed,Closed,4PM - 12AM,4PM - 12AM,4PM - 2AM,11:30AM - 2AM,Closed
13,Basement Sate,"8 Broadwick Street, London, W1F 8HN",Cocktails - and pudding - in a basement in Soho. What's not to love!?,6PM - 12AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 1:30AM,6PM - 12AM
14,Blue Bar at The Berkeley,"Wilton Place, London, SW1X 7RL",There are plenty of places to have a drink or a cocktail in Knightsbridge. But few can match the Blue Bar for wow factor. This is a truly welcome addition to the Cocktail Tours and definitely worth a visit.,Closed,Closed,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,Closed
15,The Botanist Broadgate Circle,"5 Broadgate Circle, London, EC2M 2QS","A snazzy bar in Broadgate Circle with a huge sun terrace, plush furnishings and a late-night club in the basement where they have DJs on Fridays.",11AM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 12AM,11AM - 10PM,11AM - 10PM
16,The Botanist on Sloane Square,"7 Sloane Square, London, SW1W 8EE","An infamous all-day spot in the heart of Sloane Square, perfect for people watching with bubbles or a decadent brunch after snapping a pic outside with the glorious floral installation.",8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,9AM - 11PM,Closed,9AM - 10PM
17,Bull in a China Shop,"196 Shoreditch High Street, London, E1 6LG","Opposite the iconic Tea Building in Shoreditch, you’ll find this cosy, Asian-influenced whisky bar with a pub frontage. Famous for their rotisserie chicken, Japanese whisky selection and inventive cocktails.",4PM - 11:30PM,4PM - 11:30PM,4PM - 11:30PM,4PM - 11:30PM,4PM - 11:30PM,10AM - 11PM,10AM - 10PM
18,Bourne & Hollingsworth Buildings,"42 Northampton Road, London, EC1R 0HU",An all-day kind of place that proves popular with the brunch crowd. Floral fabrics and plants throughout only add to the appeal and there’s enough space to cater for most groups.,Closed,Closed,5PM - 12AM,5PM - 1:30AM,5PM - 2AM,10AM - 2AM,10AM - 6PM
19,Café Pacifico,"5 Langley Street, London, WC2H 9JA","An authentic, charming tequila bar and restaurant in the heart of Covent Garden that remains a breath of fresh air, after 35 years of stellar service.",4PM - 10PM,4PM - 10PM,1PM - 11PM,1PM - 11PM,1PM - 11:45PM,12PM - 11:45PM,12PM - 10PM
20,Rake’s Café Bar,"Andaz London Hotel, 40 Liverpool Steet, London, EC2M 7QN","Rake’s is an ideal to escape the city. Come as you are - there is no formality, no rules but plenty to catch the eye.",Closed,10AM - 11PM,10AM - 11PM,10AM - 1:30AM,10AM - 1:30AM,12PM - 1:30AM,Closed
21,Christopher's Martini Bar,"18 Wellington Street, London, WC2E 7DD","A timeless bar located inside an all-day American steakhouse, a stone's throw from the Strand. Theatrical lighting and glamorous seating provides the perfect backdrop for an ice-cold Martini.",Closed,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 1:30AM,11:30AM - 1:30AM,11:30AM - 5PM
22,The Churchill Bar & Terrace at the Hyatt Regency,"30 Portman Square, London, W1H 7BH","Within the Hyatt Regency, this glossy and colourful hotel bar is a welcome oasis if you find yourself on Oxford Street and they make their own gin too!",5PM - 11PM,5PM - 11PM,5PM - 11PM,4PM - 11PM,4PM - 12AM,3PM - 12AM,3PM - 11PM
23,City Social,"Tower 42, Level 24, 25 Old Broad Street, London, EC2N 1HQ","One of London's most famous rooftop bars, soaring high above the city with views over some of its most iconic buildings. The glamorous restaurant and well-stocked bar is always a treat.",Closed,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,4PM - 12AM,Closed
24,Cocktail Trading Co.,"68 Bethnal Green Road, London, E1 6GQ","A hop down Bethnal Green Road and you’ll find this good-time bar that we can’t recommend more. Rock & roll tunes, free monkey nuts and cocktails served in all manner of vessels.",5PM - 11:30PM,5PM - 11:30PM,5PM - 11:30PM,5PM - 12AM,5PM - 12AM,2PM - 12AM,2PM - 11PM
25,London Cocktail Club - Bethnal Green,"Arch 253 Paradise Row, London, E2 9LE","A cuban-themed rum shack, found in one of Bethnal Green's famous railway arches. Expect a lot of neon, rum-laced drinks and to party with bartenders until closing!",Closed,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 12AM,2PM - 12AM,Closed
26,Lyaness,"20 Upper Ground, London, SE1 9PD","A stunning cocktail bar that goes beyond the simple focus of what’s in your glass. Team Lyan has always had a curiosity to find new ingredients, and an ability to make the unusual more delicious!",5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM
27,"Demon, Wise & Partners","27 Throgmorton Street, London, EC2N 2AN","You'll find this fantastic little weeknight-only cocktail bar underneath The Arbitrager on Throgmorton Street, stocked with high-end spirits and serving up classic cocktails until late.",Closed,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,Closed,Closed
28,Discount Suit Company,"29 Wentworth Street, London, E1 7TB","Fun, fun, fun basement bar a stone's throw from Spitalfields. Some of the very best cocktails, service and a great soundtrack that'll have you dancing on the tables!",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,2PM - 1AM,2PM - 1AM,5PM - 11PM
29,Eastway Brasserie,"Andaz London Hotel, 40 Liverpool Street, London, EC2M 7QN","Eastway is the answer for those looking for a relaxed London dining experience. Open for all day refreshments and dining, serving reinterpreted classic brasserie favourites such as grills, salads and a variety of hearty and vegetarian dishes.",7AM - 10PM,7AM - 10PM,7AM - 10PM,7AM - 10PM,7AM - 10PM,7AM - 10PM,7AM - 10PM
30,East London Liquor Co.,"Unit GF1, Bow Wharf, 221 Grove Road, London, E3 5SN",Looking to enjoy your cocktail while watching distillers make the booze IN your cocktail? East London Liquor Co. have nailed that with their distillery on full display behind their bar in Bow Wharf.,Closed,Closed,5PM - 11PM,5PM - 11PM,4PM - 12:30AM,12PM - 12AM,12PM - 8PM
31,El Camion,"25-27 Brewer Street, London, W1F 0RR","A Soho stalwart with an outstanding, no-frills Mexican restaurant upstairs and a very naughty late-night dive bar in the basement, where many tequilas are always had!",12PM - 3AM,12PM - 3AM,12PM - 3AM,12PM - 3AM,12PM - 3AM,12PM - 3AM,Closed
32,Freud Bar,"198 Shaftesbury Avenue, London, WC2H 8JL",A long-established basement bar with high-ceilings and art-filled walls. The space allows an an easy transition from coffee shop in the day to cocktail bar at night.,4PM - 11PM,4PM - 11PM,4PM - 12AM,4PM - 1AM,4PM - 2AM,4PM - 2AM,4PM - 11PM
33,GNH Bar and Terrace at the Great Northern Hotel,"Great Northern Hotel, Pancras Road, London, N1C 4TB","Lavish hotel bar that's a reinvention of the traditional railway bar - with an extensive cocktail list, just a stone's throw from Kings Cross station. Perfect for a cocktail, beer or glass of Champagne before a train.",9AM - 9PM,9AM - 10PM,9AM - 10PM,9AM - 10PM,9AM - 10PM,9AM - 10PM,9AM - 9PM
34,The Gunmakers,"13 Eyre Street Hill, London, EC1R 5ET","A hidden gem of a boozer, which looks like a pub but thanks to Southern-Californian-inspired tacos, craft beer and agave-focused cocktails - is so much more!",4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,Closed,Closed
35,The Happenstance,"10 Paternoster Square, London, EC4M 7DX","With unrivalled service and a beautiful terrace overlooking St Paul's Cathedral, it is the perfect setting for alfresco drinks and all day dining.",8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,10AM - 11PM,10AM - 6PM
36,Happiness Forgets,"8-9 Hoxton Square, London, N1 6NU","Ali Burgess' world-famous, Hoxton Square basement bar… and in our opinion, still one of the greatest spots to grab a well-crafted drink in town. Impeccable every time!",5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM,5PM - 11PM
37,Hawksmoor Air Street,"5a Air Street, London, W1J 0AD","This enormous, art-deco style restaurant that focusses on seafood as much as it does steak, is also home to a decadent bar, which feels a million miles away from Regent Street.",5PM - 9PM,5PM - 9PM,5PM - 9PM,5PM - 9PM,5PM - 9PM,12PM - 9PM,12PM - 8PM
38,Hawksmoor Guildhall,"10 Basinghall Street, London, EC2V 5BQ","The most serious of the Hawksmoors, found inside the magnificent Guildhall. A myriad of dark wood that celebrates excellent drinks, as well as the magnificence of the steak.",5:30PM - 9PM,12PM - 2:30PM,12PM - 2:30PM,12PM - 2:30PM,12PM - 2:30PM,5PM - 9PM,12PM - 5PM
39,Hawksmoor Knightsbridge,"3 Yeomans Row, London, SW3 2AL","This smart, art-deco style steak favourite, never lets us down. Fantastic cocktails pair with extremely good meat, all-in-all the perfect go to after a day at the museums.",5:30PM - 9PM,5:30PM - 9PM,5:30PM - 9PM,5:30PM - 9PM,5:30PM - 9PM,12PM - 3PM,12PM - 4PM
40,Hawksmoor Seven Dials,"11 Langley Street, London, WC2H 9JG","This Hawksmoor exudes old-school glamour, as you descend the sweeping stairs to the bar and then through to the restaurant for a slap-up steak dinner with some of our favourite cocktails.",5PM - 9:30PM,5PM - 9:30PM,12PM - 2:30PM,12PM - 2:30PM,12PM - 2:30PM,12PM - 9PM,12PM - 8PM
41,The Hide,"39-45 Bermondsey Street, London, SE1 3XF","A brilliant little cocktail bar at the top of Bermondsey Street, showcasing London based producers only, with a fab selection of local beers and cocktails on tap.",5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 1AM,5PM - 2AM,2PM - 2AM,Closed
42,London Cocktail Club - Goodge Street,"61 Goodge Street, London, W1T 1TL",Follow the red light on Goodge Street to uncover this basement party-bar behind the Downing Street door. Colourful tartan meets quirky cocktails at this LCC site.,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 11PM,4PM - 12AM,2PM - 12AM,2PM - 10:30PM
43,Homeboy Bar - Islington,"108 Essex Road, London, N1 8LX",This neighbourhood cocktail bar sees Irish hospitality brought to London by two of its native sons. Expect balanced cocktails alongside Irish stew and perfect pints of Guinness.,3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 11PM,3PM - 1AM,3PM - 1AM,3PM - 11PM
44,London Cocktail Club - Oxford Circus,"4 Great Portland St, London, W1W 8QJ","Flamboyant times await as you descend the staircase to this LCC basement bar, tucked away under Oxford Circus. The ultimate hip-hop house party with some mighty Margaritas!",4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,2PM - 12AM,2PM - 10:30PM
45,London Cocktail Club - Shaftesbury Avenue,"224a Shaftesbury Avenue, London, WC2H 8EB","A tattoo-inspired rum parlour with an overarching British naval theme, serving colourful cocktails until the early hours of the morning and hosting Totally Tiki night on Thursdays.",4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,2PM - 12AM,4PM - 12AM
46,London Cocktail Club - Shoreditch,"Unit 12, 29 Sclater Street, London, E1 6HR",Start your engines at this branch of the notorious LCC party-bars. A motor city-style theme runs throughout and you can get their usual fun drinks until the early hours of the morning.,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 12AM,4PM - 1AM,2PM - 1AM,2PM - 12AM
47,Looking Glass Cocktail Club,"49 Hackney Road, London, E2 7NX","A really inventive, welcoming cocktail bar just slightly off the main Shoreditch drag and well worth a visit, as they go late late at weekends.",Closed,6PM - 2AM,6PM - 2AM,7PM - 3AM,6PM - 3AM,7PM - 3AM,Closed
48,The Lucky Pig Cocktail Bar,"5 Clipstone Street, London, W1W 6BB",Hidden away down a side street in fashionable Fitzrovia is where you'll find this 1920's shabby-chic basement bar. Classic cocktails with a twist are the order of the day and ther's live music and DJ's every day of the week.,Closed,5PM - 12AM,5PM - 12AM,5PM - 1AM,5PM - 2AM,6PM - 2AM,Closed
49,The Luggage Room at the Marriott Hotel Grosvenor Square,"84-86 Duke Street, London, W1K 6JP","This elegant, clandestine cocktail bar is a rare and relaxing treat in this busy part of town.",Closed,Closed,5PM - 1AM,5PM - 1AM,5PM - 2AM,5PM - 2AM,Closed
50,Park Row,"77 Brewer Street, London, W1F 9ZN",The first fully immersive DC-inspired restaurant experience found anywhere in the world! With five restaurant and bar spaces they combine multi-sensory storytelling with world-class food and drink that draws inspiration from some of Gotham City's most famous (and infamous) residents - heaven for both comic book fans and foodies!,Closed,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM,Closed
51,Merchant House,"13 Well Court, London, EC4M 9DN","Uncover this award-winning bar, tucked away down a court off Bow Lane. Surprisingly large downstairs with a world class list of both gin, whisky and rum - plus extremely knowledgeable bar staff who always deliver exactly what you fancy.",5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,3PM - 1AM,Closed
52,Nightjar,"129 City Road, London, EC1V 1JB","A classic speakeasy-style cocktail bar, just off Old Street roundabout, with live jazz and blues to keep you entertained plus award-winning drinks and rare spirits to keep you well-watered.",6PM - 12AM,6PM - 12AM,6PM - 12AM,6PM - 1AM,6PM - 2AM,3PM - 2AM,3PM - 12AM
53,Opium,"15-16 Gerrard Street, London, W1D 6JE","A 1920's Shanghai themed bar, spread over multiple floors, in the heart of Chinatown. Dim sum and cocktails are all served late, so it's a great place to end the night.",5PM - 1AM,5PM - 1AM,5PM - 2AM,5PM - 3AM,5PM - 3AM,5PM - 3AM,5PM - 12AM
54,OXO Tower Bar,"OXO Tower Wharf, Barge House Street, London, SE1 9PH","One of the most iconic venues in the capital, the OXO Tower is improved to no end by the fantastic bar on its eighth floor, which has drinks that equal the view.",12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM,12PM - 10PM
55,Peony at Opium,"15-16 Gerrard Street, London, W1D 6JE","Housed within Opium on the second floor, this cosy cocktail sanctuary is the perfect late night stop. With a different menu to the rest of the building, this is a somewhere you can settle in a while away some hours as the hustle of the street below is totally forgotten.",Closed,6PM - 1AM,6PM - 2AM,6PM - 3AM,6PM - 3AM,6PM - 3AM,Closed
56,Plateau,"4th Floor, Canada Place, London, E14 5ER","Plateau sits atop Canada Place opposite One Canada Square Tower in Canary Wharf and offers a view like no other in London, more reminiscent of the great cityscapes of New York and Tokyo. Opt to dine indoors in the elegant main restaurant or outdoors on one of two heated, covered terraces.",Closed,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 10:30PM,12PM - 11PM,Closed
57,Quaglino's,"16 Bury Street, London, SW1Y 6AJ","A sprawling, glamorous cocktail bar and restaurant with late night live music - the central, glowing amber bar is a real draw.",5:30PM - 12AM,5:30PM - 12AM,5:30PM - 12AM,5:30PM - 1AM,5:30PM - 2AM,5:30PM - 3AM,12PM - 6PM
58,12th Knot,"Sea Containers Hotel, 22 Upper Ground, London, SE1 9PD","Delicious cocktails, stylish settings, live music, and panoramic views across the city from this lofty rooftop bar at the top of the Sea Containers London Hotel.",Closed,5PM - 1AM,5PM - 1:30AM,5PM - 1:30AM,5PM - 1:30AM,5PM - 1AM,Closed
59,Satan's Whiskers,"343 Cambridge Heath Road, London, E2 9RA","Don't be fooled by the tatty exterior, inside you'll find one of the coolest little bars in East London. Hip-hop, taxidermy, world-class drinks and a raw-garnish bar thrown in for good measure. They also make the most delicious bottle cocktails to take away with you. Rude not to really...",5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM
60,The Shrub & Shutter,"336 Cold Harbour Lane, London, SW9 8QH",Some seriously exciting cocktails paired with a changing roster of British cuisine pop-ups in a tiny little space on Coldharbour Lane in Brixton.,Closed,Closed,Closed,5PM - 12AM,5PM - 1AM,5PM - 1AM,Closed
61,Skylon,"Royal Festival Hall, Belvedere Road, London, SE1 8XX",Set within the iconic Royal Festival Hall the floor to ceiling windows in this bar make it a great lunch spot with a view.,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,11:30AM - 11PM,11:30AM - 5PM
62,The Sun Tavern,"441 Bethnal Green Road, London, E2 0AN","An unassuming proper pub to the un-trained eye, where you’ll uncover some of the best cocktails in the city, live music, international bar takeovers and London’s largest Poitín collection.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 2AM,12PM - 2AM,12PM - 2AM,12PM - 12AM
63,Three Eight Four (384),"384 Coldharbour Lane, London, SW9 8LF",A compact and chic small plates restaurant and cocktail bar in the heart of Brixton with tongue-in-cheek named drinks and an extensive selection of classics on offer too.,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 12AM,5PM - 1AM,10AM - 1AM,10AM - 12AM
64,Trailer Happiness,"177 Portobello Road, London, W11 2DY",An award-winning tiki-tastic basement drinking den tucked underneath Portobello Road.,Closed,4PM - 12AM,4PM - 12AM,4PM - 12:30AM,4PM - 1AM,4PM - 1AM,4PM - 12AM
65,The Last Talisman,"171-173 Bermondsey Street, London, SE1 3XF","Expertly crafted cocktails, a sizzling Asian grill, modern decor and a decadent backdrop of live entertainment. Discover Good Fortune at The Last Talisman on Bermondsey Street.",Closed,5PM - 12AM,5PM - 12AM,12PM - 12AM,12PM - 2AM,11AM - 2AM,11AM - 11PM
66,London Cocktail Club - Old Street,"63 Worship Street, London, EC2A 2DU",Expect all the usual raucous fun of LCC but this time with more of a festival theme. Think everything from flower crowns and swinging chairs to Morrocan Bedouin tents to party in.,4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 1AM,4PM - 2AM,2PM - 2AM,3PM - 11PM
67,Zetter Townhouse,"49-50 St Johns Square, London, EC1V 4JJ","The original Zetter Townhouse's quirky, old-fashioned cocktail bar with ridiculously, brilliant taxidermy and outstanding drinks in the heart of Clerkenwell.",Closed,12PM - 11:30PM,12PM - 11:30PM,12PM - 11PM,12PM - 12AM,12PM - 12AM,12PM - 5PM
68,The Gibson,"44 Old Street, London, EC1V 9AQ","An award-winning, tiny art-deco cocktail bar, tucked away a little further down Old Street than we're used to, but with seriously inventive cocktails that never cease to amaze.",5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 1AM,5PM - 2AM,3PM - 2AM,3PM - 11PM
69,The Vault Soho,"3 Greek Street, London, W1D 4NX",Tiny little whisky bar underneath a shop. Worth the wait to get down there.,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,6PM - 11:30PM,Closed
70,100 Wardour St,"100 Wardour Street, London, W1F 0TN",Embrace your chance to dance at this cavernous Soho basement bar where live music and cocktails both go late into the night.,Closed,Closed,5PM - 2AM,5PM - 2AM,5PM - 2AM,11:30AM - 2AM,12PM - 8PM
71,The Drift,"Heron Tower, 110 Bishopsgate, London, EC2N 4AY","From long lazy lunches to well-crafted cocktails in the early hours, The Drift has it all...",8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 11PM,10AM - 11PM,Closed
72,The Refinery Bankside,"110 Southwark Street, London, SE1 0TF","From the cosy lounge area to their semi-private dining space & mezzanine, it’s the perfect place for all-day drinking, dining and unwinding.",11AM - 11PM,11AM - 11PM,11AM - 11PM,11AM - 12AM,11AM - 12AM,10AM - 12AM,10AM - 6PM
73,Drake & Morgan at King's Cross,"6 Pancras Square, London, N1C 4AG","Spread across two floors with two show stopping bars, an open kitchen and an extensive year-round outside space, this is a perfect spot for an after work catch-up.",8AM - 12AM,8AM - 12AM,8AM - 12AM,8AM - 12AM,8AM - 12AM,9AM - 12AM,9AM - 11AM
74,Electric Diner,"191 Portobello Road, London, W11 2ED",Shabby chic American diner with a tiny bar area but wonderful vibes. Sink into the red leather banquettes and settle in for a while.,8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 12AM,8AM - 2AM,8AM - 2AM,8AM - 11PM
75,Flight Club Shoreditch,"2a Worship Street, London, EC2A 2AH",A super social bar with group darts that is conducive to social eating and drinking in a high-energy setting. Great for groups with signature slushy cocktails and a whole lot of fun.,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12AM,11:30AM - 12:30AM,11:30AM - 1AM,11:30AM - 1AM,11:30AM - 10:30PM
76,The Anthologist,"58 Gresham Street, London, EC2V 7BB","Located right in the heart of the City, The Anthologist is a gorgeous bar & restaurant with a cosy outside seating area.",8AM - 11PM,8AM - 11PM,8AM - 11PM,8AM - 12AM,8AM - 12AM,Closed,Closed
77,The Duck and Rice,"90 Berwick Street, London, W1F 0QB",Alan Yau's dim sum for supper with brewery-fresh Czech Pilsner tank beer to wash it down. Lovely!,Closed,5PM - 11PM,5PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 9PM
78,Gillray's Steakhouse & Bar,"London Marriott County Hall, Westminster Bridge Road, London, SE1 7PB","With over 100 different gins to sample, Gillray’s Bar is the Gin expert on the South Bank. Discover it whilst you marvel at the views over the River Thames and the Houses of Parliament.",12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 10PM
79,Old Bengal Bar,"16a New Street, London, EC2M 4TR",Located in a warehouse once owned by the East India Company with a secret hidden terrace for al fresco drinking.,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 12AM,12PM - 4PM
80,MAP Maison,"321 Kingsland Road, London, E8 4DL",Cosy neighbourhood bar with cracking cocktails and one of London's largest Japanese whisky selections. The tiled walls and comfy furniture make this space wonderfully welcoming.,Closed,3PM - 1AM,3PM - 1AM,3PM - 1AM,12PM - 1AM,12PM - 1AM,12PM - 1AM
81,Victory Mansion,"18 Stoke Newington High Street, London, N16 7PL",Asian tacos and a completely gluten free menu are the order at this quaint little neighbourhood bar. That armed with stellar service and tropical cocktails make it a must when in Stokey.,Closed,Closed,5PM - 12AM,5PM - 12AM,5PM - 2AM,12PM - 2AM,Closed
82,Tanner and Co,"50 Bermondsey Street, London, SE1 3UD","Tanner & Co is a local favourite, right on buzzing Bermondsey Street. It’s got a list of innovative original cocktails and some delicious bar snacks, plus there’s a festoon-lit terrace and a choice of cosy banquettes inside.",12PM - 11PM,12PM - 11PM,12PM - 11PM,12PM - 2AM,12PM - 2AM,12PM - 11PM,12PM - 7PM
83,Oriole,"East Poultry Avenue, Smithfield Market, London, EC1A 9LH","An elegant destination bar that’s always worth the journey. Cocktails are inspired by the New World, Old World and Orient and are presented in a never-ending array of fascinating vessels.",Closed,Closed,6PM - 2AM,6PM - 2AM,6PM - 2AM,6PM - 2AM,Closed
84,Barrio Brixton,"30 Acre Lane, London, SW2 5SG","A feast for all the senses, serving up fresh street food and colourful cocktails. There's an outside terrace, a caravan table inside and party-starting DJ's at the weekend.",Closed,Closed,4PM - 12AM,4PM - 12:30AM,4PM - 2:30AM,11:30AM - 2:30AM,12PM - 12AM
85,Cahoots,"13 Kingly Street, Kingly Court, London, W1B 5PG","Jazz, swing, lindy-hop and vintage cocktails in this blitz-style basement bar. The space has recently expanded across the street and now includes the original Underground station, the more recently discovered Control Room basement and the ground floor Ticket Hall.",Closed,3PM - 1AM,3PM - 1AM,2PM - 1AM,2PM - 2AM,12PM - 2AM,2PM - 12AM
86,Black Parrot Bar,"8 Bride Court, London, EC4Y 8DU","A dark-blue haven hidden away in the heart of Fleet Street, from the same owners as Merchant House. They have one of the world's best rum selections here, so order something tasty to sip neat or add to one of their Caribbean-inspired cocktails.",Closed,5PM - 12AM,5PM - 12AM,3PM - 12AM,3PM - 12AM,3PM - 11PM,Closed
87,108 Bar & Brasserie,"108 Marylebone Lane, London, W1U 2QE","Set in the heart of Marylebone, 108 Bar is a chic drinking and dining area, offering the finest cocktails and a delicious small plate menu.",12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,12PM - 9:45PM,Closed
